workload,config,rtt_ms,phase,bytes_fetched,requests,byte_amp,req_amp,min_total_bytes,min_requests,min_requests_naive,n_files,min_block_bytes,header_bytes,n_blocks,mean_range_bytes,connections,wall_s,peak_rss_mb,reads_executed,reads_total,truncated,gdal,curl,run_file
W5,DEFAULT,5.0,cold,109822950,216,1.009687035030786,4.32,108769298,50,515,9,108679058,90240,506,530375.1594202898,9,1.8481,676.6,86,86,False,3.13.3,8.18.0,W5.DEFAULT.rtt5.json
W5,DEFAULT,5.0,warm,108564274,188,0.9981150563277517,3.76,108769298,50,515,9,108679058,90240,506,577469.5425531915,9,1.2494,698.1,86,86,False,3.13.3,8.18.0,W5.DEFAULT.rtt5.json
W5,DEFAULT,50.0,cold,109822950,216,1.009687035030786,4.32,108769298,50,515,9,108679058,90240,506,530375.1594202898,9,7.4474,670.4,86,86,False,3.13.3,8.18.0,W5.DEFAULT.rtt50.json
W5,DEFAULT,50.0,warm,108564274,188,0.9981150563277517,3.76,108769298,50,515,9,108679058,90240,506,577469.5425531915,8,6.0459,681.5,86,86,False,3.13.3,8.18.0,W5.DEFAULT.rtt50.json
W5,TUNED_chunk16k,150.0,cold,109345808,211,1.005300300825698,4.22,108769298,50,515,9,108679058,90240,506,518226.57819905214,8,18.7289,810.7,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk16k.rtt150.json
W5,TUNED_chunk16k,150.0,warm,0,0,0.0,0.0,108769298,50,515,9,108679058,90240,506,0,0,0.4229,821.8,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk16k.rtt150.json
W5,TUNED_chunk16k,5.0,cold,109345808,211,1.005300300825698,4.22,108769298,50,515,9,108679058,90240,506,518226.57819905214,8,2.0853,807.5,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk16k.rtt5.json
W5,TUNED_chunk16k,5.0,warm,0,0,0.0,0.0,108769298,50,515,9,108679058,90240,506,0,0,0.1595,818.6,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk16k.rtt5.json
W5,TUNED_chunk16k,50.0,cold,109345808,211,1.005300300825698,4.22,108769298,50,515,9,108679058,90240,506,518226.57819905214,8,7.699,809.5,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk16k.rtt50.json
W5,TUNED_chunk16k,50.0,warm,0,0,0.0,0.0,108769298,50,515,9,108679058,90240,506,0,0,0.1987,820.7,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk16k.rtt50.json
W5,TUNED_chunk1m,50.0,cold,147848208,202,1.359282543130875,4.04,108769298,50,515,9,108679058,90240,506,731921.8217821782,8,7.5714,813.4,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk1m.rtt50.json
W5,TUNED_chunk1m,50.0,warm,0,0,0.0,0.0,108769298,50,515,9,108679058,90240,506,0,0,0.2678,824.5,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk1m.rtt50.json
W5,TUNED_chunk256k,50.0,cold,119536656,202,1.098992621980515,4.04,108769298,50,515,9,108679058,90240,506,591765.6237623763,8,7.3294,804.0,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk256k.rtt50.json
W5,TUNED_chunk256k,50.0,warm,0,0,0.0,0.0,108769298,50,515,9,108679058,90240,506,0,0,0.2278,815.1,86,86,False,3.13.3,8.18.0,W5.TUNED_chunk256k.rtt50.json
